Publish Time,Title,Position,Read Count,Like Count,View Count,Link
2024-01-23 19:48:00,单位里，有4样东西，永远不要交给领导，否则他一定会把你用废！,1,100001,128,48,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485624&idx=1&sn=78a1ecb879c8a8d980320365080351aa&chksm=ebdf95d1d1a7547fc259088ae4bf879394005c9a9f82a6e09ce1c1657e7eb734bdf6964e0ec4&scene=126&sessionid=0#rd
2024-01-20 19:00:00,单位里，永远不要说出这2个字！,1,100001,74,33,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485582&idx=1&sn=e2e50a795222b53baddf782f6955e047&chksm=eb8df3a507cb0c17d96eeee0d6dc50a2ebc5feb24683466c3cb68142b3b11d1f4ca82a5256ca&scene=126&sessionid=0#rd
2024-01-14 19:13:00,在单位，干掉不喜欢的同事，这5招就够了！,1,100001,145,57,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485479&idx=1&sn=31c4a60b2e951d8b8cb0a330016d463e&chksm=ebeeadc65b96084cd5bf150dde81c6b5398d2d35ca1a343e9e20fc59267fc7ec0b83c5e85fd3&scene=126&sessionid=0#rd
2024-01-11 19:00:00,真正对你好的领导，就这4个字！,1,100001,180,86,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485437&idx=1&sn=6a88f594fb3efb4a1c3f925af3b3a821&chksm=eb21b7c516abb5113de1013a8e2062bcf11b0dec486576db69a8660cf4e97b33f5c9c615ebbd&scene=126&sessionid=0#rd
2024-01-08 19:48:00,判断一个人有没有领导力，看这1点就够了,1,100001,116,57,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485391&idx=1&sn=3ae699a3823d1ea5a00d4e5513eb5117&chksm=eb16229723632fd5c37e8973c67daab4a6a699571799362804252047872d9866a88d7c1ba74c&scene=126&sessionid=0#rd
2023-12-30 21:17:00,有7件事，永远不要向领导汇报,1,100001,100,45,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485251&idx=1&sn=24fd85039a8d5c93f004b4fa4aaf87ee&chksm=eb557e9d064a301100726b300233403bf4f047fc378a109e6016ebba44558bb2d5f8b2a62342&scene=126&sessionid=0#rd
2024-05-15 19:00:00,单位里，要假装不知道的4件事：1、被同事孤立；2、同事间勾心斗角；3、同事向领导打你小报告；4、领导私下叫你办的事,1,94147,196,55,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487341&idx=1&sn=2f5dd0c9d1bca6ca8a920a8fde2c8afc&chksm=eb603d4418028c3ae4b1b37294a8138cc6f084b06cb70c6fe749c8df2918a385c9b68bcee50a&scene=126&sessionid=0#rd
2024-01-13 19:00:00,领导最烦的3种员工，工作再努力，也不会提拔,1,88108,57,27,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485468&idx=1&sn=90f267246212751f08c1aa489671e8fb&chksm=eb94d6dd09a5f8df7d18a78363449ed236b3c9888c5797727cafec78e7b1f150e49fa05209b9&scene=126&sessionid=0#rd
2024-05-16 21:23:57,在单位里，当你越来越优秀，成果突出，话语权就强了；渐渐地，你会发现，那些你不喜欢的同事小人，能对你产生的影响也会越来越小,1,88075,140,44,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487352&idx=1&sn=dd05fc6f780e0faa4f95b8fa2d21001d&chksm=ebb9714a2036a451fe51d5e3fa058999b5dc27099578d2ef48b4ee5630998a951b4f080f8804&scene=126&sessionid=0#rd
2024-03-20 21:22:00,单位里，一定要记住：1、领导不安排的，一概不做；2、别把同事当朋友；3、别把工作当全部；4、打工目的是跳槽，或提前退休,1,87466,160,47,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486462&idx=1&sn=a5b68a45cd1f30e21fafc532ba65c05c&chksm=eb13f47444b666bdfceeb76f18365e3befa2671e82d37f96d86e6cedcc7d1765ed6d6c0c4583&scene=126&sessionid=0#rd
2024-03-31 19:59:00,在单位，最得罪人的5个表现：1、直肠子，说话不过脑子；2、喜欢占同事便宜；3、背后说人闲话；4、贬低别人的成就；5、好为人师,1,86045,86,30,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486593&idx=1&sn=cf1cfe8d53d7aaabd8af7316a4f9e1b1&chksm=eb628968d4eff19747316d61a48edc46da28d78a15a94cbec4fe1a5ed7eecbcf7929d6c9bc61&scene=126&sessionid=0#rd
2024-02-27 19:00:00,发现领导不喜欢你，不要去讨好，只须做好这5点,1,84012,100,38,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486058&idx=1&sn=12420e0fe3e85ae6500995756a5377f2&chksm=ebf0f25677c38fbe6ae0c40575e5f50b237d8f84ac6d73c5d784f2b5f0bdadaa84aa3ac380ce&scene=126&sessionid=0#rd
2024-04-09 21:10:00,单位里想提拔快，除了主要领导，不要轻易得罪五个人：1、班子成员；2、领导的亲信；3、提拔快的人；4、人缘好的人；5、HR负责人,1,83289,54,20,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486744&idx=1&sn=fa873b9bd132a54b285612c10fa609ef&chksm=eba69961533cf5c854714837c03d1dc92cdc9f90eb384d3d2fa23ef7b4354e1132da39065e34&scene=126&sessionid=0#rd
2024-02-22 22:06:00,单位里，没关系没背景，不用巴结领导，也不用讨好同事，记住这2个字，也能过得很好,1,83113,101,29,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486004&idx=1&sn=f106e0cc4c960ba93f2bcdcf31d9aa84&chksm=eb764bf9906cabb50b54cefb6c7ff4c7ee89e17a277c79c8f770a8cb906845efd2fbcc96becb&scene=126&sessionid=0#rd
2024-04-28 21:10:00,领导明确不提拔你，还让你负责重要工作，无非这4点原因,1,79910,150,56,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487017&idx=1&sn=b6408df393b95298b17562311ae4465b&chksm=eb8a5a09c3ef1b496488dd2789b3c46ab1439631395c14763de0b9aa568943c39eeb85c3573b&scene=126&sessionid=0#rd
2024-05-02 21:06:00,领导最讨厌的7种称呼，情商越低的人越喜欢叫！,1,77890,49,20,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487088&idx=1&sn=976e8adaca94619a8d05943bc19ea5bf&chksm=ebfb9d35fd31a2705e7d91fb55da13779e56771bc16ada4fdcf10a444c33366b4b2cace10c4d&scene=126&sessionid=0#rd
2024-02-17 20:37:59,退休领导酒后吐真言：想要被重用，能力是其次，这3点很重要,1,77561,95,46,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485944&idx=1&sn=2a0f8b050fd2b469b83fc7f2ba8d4d13&chksm=eb219d5b053bf3c471d774cd711be5da07360bfe4aa1fbbba1a15f715590f2d3a0ea301b5f50&scene=126&sessionid=0#rd
2024-02-05 19:12:00,出现这7个迹象，说明领导已经当心腹一样信任你，别傻傻不知道！,1,77398,79,20,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485793&idx=1&sn=d737f21dba22853f3fcbe05f5576faca&chksm=eb983455b72ab73c638964bca9b6934f79eddd098131cb804bbefd21e68c36059713d4e9bcdc&scene=126&sessionid=0#rd
2024-05-19 19:42:00,在单位，有这3个迹象，说明你快被淘汰了，要随时做好被裁员准备：1、工作没人管，不安排重要工作；2、领导爱理不理；3、同事孤立你,1,77153,81,33,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487385&idx=1&sn=341923b2d04b860ef3197993f860ef7a&chksm=eb72c31b9730c90541275afdf6c0e61765beafdc0faeac515cc58916d86101842ff75f1ca643&scene=126&sessionid=0#rd
2024-03-05 19:56:00,在单位，想搞定一个女同事非常简单，记住这8个字就够了！,1,76955,63,29,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486191&idx=1&sn=802b3e0ca81718874a89ed87d0da1f41&chksm=eb50435f6efa9233cd3a9cdae30dd2c4cb20b254d39d9fabb5784fc68acfd04457c89a9fc6b7&scene=126&sessionid=0#rd
2024-05-22 21:07:00,单位里，一个极其残酷且无奈的生存真相：1、没能力的少干活；2、会说话的不干活；3、有能力的多干活；4、好说话的干不完活,1,74451,218,75,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487426&idx=1&sn=9c7992cc123d359e3f8c0507d96a0987&chksm=eb3cd93b63a1f6e2619c58b8e1dd6c34760961aa9ce770d1a1460ec2f38479f7107635a4580e&scene=126&sessionid=0#rd
2024-01-07 19:58:00,单位里你越是这样，别人越不敢惹你，聪明人的八大手段，一定要上点心！,1,74393,132,45,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485378&idx=1&sn=2bcf42a9ed5f5255b107fa73f651131f&chksm=eb6ff94e8a8240284736971a23745b6fe6dccf58bbd3a69c942de80829576fea36effac5d940&scene=126&sessionid=0#rd
2024-05-28 20:30:58,在单位，如果你老实事少，从不给领导添麻烦，什么事都忍让，那么恭喜你，用不了多久，你就会成为单位里公认的“软柿子”！,1,74222,155,43,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487483&idx=1&sn=cc5cbafdde63a9b883e031751877edd6&chksm=ebd2e8b70fb673c060a96ed9f6671c2da1cfcbb488867c9fdf12afb2b988bfbfae40acd6831b&scene=126&sessionid=0#rd
2023-12-31 19:00:00,和同事相处请牢记，不交三底，不帮四忙！,1,70892,91,35,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485266&idx=1&sn=6839152aec0ddf6548fce71c15878f1e&chksm=eb69000ab800aa9398f41a992fe774575914cb089984a89d99ff7ae90f300e3df5dcc31c30b9&scene=126&sessionid=0#rd
2024-01-18 19:00:00,想要和领导搞好关系，除了送礼、拍马屁，聪明人这7大手段，你都想不到！,1,67348,101,51,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485539&idx=1&sn=ff842a1917836b01cf1f745aabd18d77&chksm=eb3eab4cb13aadc811c20097dc120fb1d4faefb1d9bc28c08508a7ee6ce4e7bac4f2fef45ff0&scene=126&sessionid=0#rd
2024-05-07 21:33:40,在单位，上个破班而已，没必要把自己搭进去：如果你的领导、同事还能让你血压飙升，说明你还没有离开他们的底气,1,65250,185,68,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487172&idx=1&sn=fd9c27a7e7bb764da92ac9b878856ee0&chksm=eb453eff7d0c3c233077f65c5738fc6f39dbcd2e1a51f6b1ea06add4608880c20df74d269e4e&scene=126&sessionid=0#rd
2024-05-13 21:21:00,单位里，永远记住，敢和这3种人翻脸，你的命运才会越来越好：1、给你负能量的人；2、对你索取过度的人；3、总劝你忍让的人,1,64448,107,48,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487248&idx=1&sn=3f940f4a87aed2e20c04960186b22ac0&chksm=eba7043b8f8559451472f95bd08932b8c545d3788fc21e34a1ca34d089fb67e00d70c89966ea&scene=126&sessionid=0#rd
2024-01-15 20:00:14,这3种工作，不要轻易辞掉，否则会后悔一辈子！,1,64241,60,24,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485493&idx=1&sn=0cd43ada72b09e4fa7b9222d22662a57&chksm=eb5b0c078c81277c8e446cb8cdd257189f423112462718a221179574bdc1924e03ff2d6554d6&scene=126&sessionid=0#rd
2024-05-31 21:55:00,永远不要在领导面前，随便说这5句话，领导很反感,1,64119,122,49,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487744&idx=1&sn=85766b4ae86e6e3d526a4f6c1bb32433&chksm=ebf286fc3284c122724301f8878d6d154212e7af52fcad80cdfa9a897fc9154eb283830a1775&scene=126&sessionid=0#rd
2024-04-20 22:14:00,单位里，一个人最掉价的7种行为，希望你一个都没有,1,60721,112,46,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486913&idx=1&sn=a6831210b2388d9a6ca62cff9a054cdf&chksm=ebe9a9dfedc668f21eee2c6f79d60868fa760e66aee08985efd227edb9ef8b117cd40c0fe995&scene=126&sessionid=0#rd
